Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Price per hour (NZD)
c1.c1r1,1.00000,1.00000,0.00000,0.00000,0.04400
c1.c1r2,1.00000,2.00000,0.00000,0.00000,0.06200
c1.c1r4,1.00000,4.00000,0.00000,0.00000,0.09800
c1.c2r1,2.00000,1.00000,0.00000,0.00000,0.07000
c1.c2r2,2.00000,2.00000,0.00000,0.00000,0.08800
c1.c2r4,2.00000,4.00000,0.00000,0.00000,0.12400
c1.c2r8,2.00000,8.00000,0.00000,0.00000,0.19600
c1.c2r16,2.00000,16.00000,0.00000,0.00000,0.33900
c1.c4r2,4.00000,2.00000,0.00000,0.00000,0.14000
c1.c4r4,4.00000,4.00000,0.00000,0.00000,0.17600
c1.c4r8,4.00000,8.00000,0.00000,0.00000,0.24800
c1.c4r16,4.00000,16.00000,0.00000,0.00000,0.39100
c1.c4r32,4.00000,32.00000,0.00000,0.00000,0.67800
c1.c8r4,8.00000,4.00000,0.00000,0.00000,0.28000
c1.c8r8,8.00000,8.00000,0.00000,0.00000,0.35200
c1.c8r16,8.00000,16.00000,0.00000,0.00000,0.49600
c1.c8r32,8.00000,32.00000,0.00000,0.00000,0.78300
c1.c8r64,8.00000,64.00000,0.00000,0.00000,1.11200
c1.c16r8,16.00000,8.00000,0.00000,0.00000,0.56600
c1.c16r16,16.00000,16.00000,0.00000,0.00000,0.71100
c1.c16r32,16.00000,32.00000,0.00000,0.00000,1.00100
c1.c16r64,16.00000,64.00000,0.00000,0.00000,1.35200
c1.c32r16,32.00000,16.00000,0.00000,0.00000,1.05700
c1.c32r32,32.00000,32.00000,0.00000,0.00000,1.26000
c1.c32r64,32.00000,64.00000,0.00000,0.00000,1.58600
c1.c32r96,32.00000,96.00000,0.00000,0.00000,1.81600
c1.c32r128,32.00000,128.00000,0.00000,0.00000,2.19100