,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),AWS,Catalyst,Google,Azure
0,t2.nano,1.0,0.5,0.0,0.0,0.01095,0.05109374999999999,0.04376109375000001,0.061343750000000016
1,t2.micro,1.0,1.0,0.0,0.0,0.0219,0.05109374999999999,0.04376109375000001,0.061343750000000016
2,t2.small,1.0,2.0,0.0,0.0,0.04381,0.06468749999999997,0.07833874999999997,0.087453125
3,t2.medium,2.0,4.0,0.0,0.0,0.08761000000000001,0.12759374999999992,0.16545968749999998,0.17981250000000013
4,t2.large,2.0,8.0,0.0,0.0,0.17523,0.20404687499999993,0.18644187500000006,0.25976562500000006
5,t2.xlarge,4.0,16.0,0.0,0.0,0.35045,0.41182812499999977,0.3672703124999998,0.4600000000000002
6,t2.2xlarge,8.0,32.0,0.0,0.0,0.7009,0.7999062500000002,0.7787853125000002,0.9338124999999998
7,m4.large,2.0,8.0,0.0,0.0,0.17112,0.20404687499999993,0.18644187500000006,0.25976562500000006
8,m4.xlarge,4.0,16.0,0.0,0.0,0.34224,0.41182812499999977,0.3672703124999998,0.4600000000000002
9,m4.2xlarge,8.0,32.0,0.0,0.0,0.68448,0.7999062500000002,0.7787853125000002,0.9338124999999998
10,m4.4xlarge,16.0,64.0,0.0,0.0,1.36895,1.2786718749999995,1.6836339062500008,1.5848906249999999
11,m4.10xlarge,40.0,160.0,0.0,0.0,3.4223800000000004,2.0170937500000012,2.9384853125000023,1.999390625
12,m4.16xlarge,64.0,256.0,0.0,0.0,5.4758,2.0170937500000012,5.270444999999999,1.999390625
13,m3.medium,1.0,3.75,0.0,4.0,0.12730999999999998,0.10599999999999994,0.118391875,0.13293750000000001
14,m3.large,2.0,7.5,0.0,32.0,0.25461999999999996,0.20404687499999993,0.18644187500000006,0.2431093750000001
15,m3.xlarge,4.0,15.0,0.0,80.0,0.50925,0.41182812499999977,0.3672703124999998,0.43318750000000034
16,m3.2xlarge,8.0,30.0,0.0,160.0,1.01987,0.7999062500000002,0.7787853125000002,0.8146562500000001
17,c4.large,2.0,3.75,0.0,0.0,0.17795999999999998,0.12759374999999992,0.16545968749999998,0.1627343750000001
18,c4.xlarge,4.0,7.5,0.0,0.0,0.3573,0.24503124999999987,0.30157749999999994,0.35253125000000024
19,c4.2xlarge,8.0,15.0,0.0,0.0,0.71459,0.4861718749999997,0.6159903125000004,0.7165781250000004
20,c4.4xlarge,16.0,30.0,0.0,0.0,1.42645,0.9789374999999992,1.205500937500001,1.3224218749999987
21,c4.8xlarge,36.0,60.0,0.0,0.0,2.85426,1.5105624999999994,2.703515312500001,1.6950312499999995
22,c3.large,2.0,3.75,0.0,31.0,0.1807,0.12759374999999992,0.16545968749999998,0.15617187500000002
23,c3.xlarge,4.0,7.5,0.0,80.0,0.36277,0.24503124999999987,0.30157749999999994,0.34153125000000023
24,c3.2xlarge,8.0,15.0,0.0,160.0,0.72417,0.4861718749999997,0.6159903125000004,0.7030937500000003
25,c3.4xlarge,16.0,30.0,0.0,320.0,1.44835,0.9789374999999992,1.205500937500001,1.3453437499999987
26,c3.8xlarge,32.0,60.0,0.0,640.0,2.89807,1.5105624999999994,2.703515312500001,1.717125
27,x1.16xlarge,64.0,976.0,0.0,1920.0,13.239120000000002,2.0170937500000012,6.714286562499995,2.0163125
28,x1.32xlarge,128.0,1952.0,0.0,3840.0,26.47686,2.0170937500000012,6.714286562499995,2.0163125
29,r3.large,2.0,15.0,0.0,32.0,0.27379000000000003,0.37604687499999984,0.2505132812500002,0.3093749999999999
30,r3.xlarge,4.0,30.5,0.0,80.0,0.5462100000000001,0.6973124999999997,0.5051968749999994,0.7074062499999997
31,r3.2xlarge,8.0,61.0,0.0,160.0,1.0924200000000002,1.0775937500000008,1.2169999999999992,1.109984375
32,r3.4xlarge,16.0,122.0,0.0,320.0,2.1848400000000003,1.7151718750000007,2.181767656250001,1.843125
33,r3.8xlarge,32.0,244.0,0.0,640.0,4.36969,2.0170937500000012,3.9283378124999997,2.0163125
34,r4.large,2.0,15.25,0.0,0.0,0.21903000000000003,0.37604687499999984,0.2505132812500002,0.3199999999999999
35,r4.xlarge,4.0,30.5,0.0,0.0,0.4367,0.6973124999999997,0.5051968749999994,0.6979999999999996
36,r4.2xlarge,8.0,61.0,0.0,0.0,0.87339,1.0775937500000008,1.2169999999999992,1.1164687500000001
37,r4.4xlarge,16.0,122.0,0.0,0.0,1.74815,1.7151718750000007,2.181767656250001,1.8420937499999996
38,r4.8xlarge,32.0,244.0,0.0,0.0,3.4963,2.0170937500000012,3.9283378124999997,1.999390625
39,r4.16xlarge,64.0,488.0,0.0,0.0,6.991230000000001,2.0170937500000012,6.714286562499995,1.999390625
40,i3.large,2.0,15.25,0.0,475.0,0.25599,0.37604687499999984,0.2505132812500002,0.34831249999999997
41,i3.xlarge,4.0,30.5,0.0,950.0,0.51199,0.6973124999999997,0.5051968749999994,0.7342656249999997
42,i3.2xlarge,8.0,61.0,0.0,1900.0,1.02397,1.0775937500000008,1.2169999999999992,1.1170937499999996
43,i3.4xlarge,16.0,122.0,0.0,3800.0,2.04795,1.7151718750000007,2.181767656250001,1.859015625
44,i3.8xlarge,32.0,244.0,0.0,7600.0,4.0959,2.0170937500000012,3.9283378124999997,2.0163125
45,i3.16xlarge,64.0,488.0,0.0,15200.0,8.1918,2.0170937500000012,6.714286562499995,2.0163125
46,d2.xlarge,4.0,30.5,6000.0,0.0,1.19099,0.6973124999999997,0.5051968749999994,1.1174999999999995
47,d2.2xlarge,8.0,61.0,12000.0,0.0,2.38197,1.0775937500000008,1.2169999999999992,1.4845781249999996
48,d2.4xlarge,16.0,122.0,24000.0,0.0,4.76395,1.7151718750000007,2.181767656250001,2.422796875000001
49,d2.8xlarge,36.0,244.0,48000.0,0.0,9.52789,2.0170937500000012,3.9283378124999997,2.645500000000002
